id,text,annotator_1,annotator_2,annotator_3,label_offensive,label_hate,link
1,Ai abun Nace allah ne shike rayawa shike kashewa,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid0xtJs3884MBkZMszQChuJzqYVGeGv3BTbBqf6FqDcSb6NY4LQLyDxT1Zv5GmKTnB9l?comment_id=654549589411318
2,a'a Hajiya bawanda yake hanasu idan sunada niyyaryi zasuyi,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02Q9MyMutgRjKJD6L5K7PTs8oBHX89wNohvEpq8HFpRu1qbDfiyACNwAkKo4JxtoUol?comment_id=419281353555999
3,Ga Wata Nan Mai Gemu Kaman Ke.,1,1,1,1,2,https://www.facebook.com/lbrhausa/posts/pfbid02QAnLmnLrLMqjKg1PxBtq7JYbtzcgNKPjEqUVG6Xzpttuux6bonRZbpXJXFbvuHpEl?comment_id=2061311564257987
4,"Yayi kyau, daa ma yaro baya hange nesa sai gabansa. Fatan alheri. Wasalam",0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02ELbXiRERUppoi5HRLhkzd62FFN3wwCFdd6Acdf7aygjJ2KQJUJjnfhRxh87eqxMMl?comment_id=1486585878519654
5,"*YAJIN AIKIN DIREBOBIN ADAIDAITA SAHU A KANO*. *_HUKUMAR KAROTA NA KARA TA,AZZARA TALAUCHI DA RASHIN AIKIN YI A TSAKANIN MATASA A JAHAR KANO DA AREWACIN NAJERIYA_*. A yau 10/01/2022 matuka baburan a daidaita sahu (keke napep) suka tsunduma yajin aikin sai baba ta gani a jahar kano sakamakon abinda suka kira rashin tausayi da rashin adalci da hukumar karota take nuna musu a cikin sana,arsu ta hanyar kakaba musu haraji mai yawa kala kala wanda basa iya biya saboda yadda rayuwa ta ta,azzara ta hanyar tsadar farashin man fetur,karuwan kudin kayan gyaran mashin din da hauhawar farashin kayan masarufi wanda hakan na da alaka kai tsaye da sana,ar tasu. A cewar wani Direban BIYAN HARAJI ABUNE DA YA ZAMA WAJIBI AMMA A DINGA DUBA KARFIN MUTANE KUMA A DAINA SAKA HARAJIN DA BAZAI TA,AZZARA RAYUWAR JAMA,A BA DOMIN DA YAWA DAGA CIKIN YAN ADAIDAITA SUNA DA IYAYE DA IYALI DA SUKE DAUKAR NAUYINSU DA WANNAN SANA,A.KA KADDARA A RANA KAYI CINIKIN NAIRA 5000 ZAKA BIYA KUDIN HAYAR BABUR NAIRA 2000 KACI ABINCIN 1000 KASHA MAI NA NAIRA 1500 ABINDA YA RAGE SHINE NAIRA 500 KUMA KANA BUKATAR CIYAR DA IYAYE DA IYALI,SIYAN MAGANI,GYARAN BABUR GA KUMA HARAJI KALA KALA DA AKE KAKABAWA MUTANE. Kalamansa sun matukar tayarmin da hankali domin duk wanda yake sana,ar tabbatas bashi da yadda zayyi ne domin sana,ace mai matukar wahala wadda take zama zabi na karshe ga matashi da ya rasa abinda zaiyi na dogaro da kai. Hakika matasa sune kashin bayan cigaban kowace kasa ko yanki a duniya kasancewar sune masu jini a jikinsu kuma manyan gobe da ake kyautata musu zaton zamowa shugabanni,yan kasuwa,malaman makarantu ko kuma ma,aikata da zasu taimaka wajen Gina kasa da wanzuwar zaman lafiya.Matasan arewacin kasar nan mutane ne masu kokarin dogaro da kansu domin kuwa duk kasuwar da kaje ko wata ma,aikata ko ka kalli wata karamar sana,a zakaga yadda matasa suka dauki kaso mafi tsoka a cikinta domin rubawa kansu asiri da kyautata rayuwarsu da wanzar da zaman lafiya. Daga. Amb Comrade Yusuf Dala",0,0,0,0,-1,https://www.facebook.com/103933248627772/posts/163187372702359/?comment_id=163214652699631
6,"Ba hijabi ba kadai,, Qur'ani ma lokaci zaizo Allah zai dauke abinsa,, ya Allah ya rahmanu ya rahimu karka kamamu da laifin wawayen cikinmu ya Allah 🤲🤲🤲",1,1,1,1,1,https://www.facebook.com/lbrhausa/posts/pfbid0vLwNeekyWViZzPrc6XAe8zfdKUUSHWWZLXMuUMeT2LSt6NQJGHuh9vvzkt365Dzul
7,🤣dagabaya kenan ai wannan dadadden abune ga hausawa,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02jViRsxwd81VrhGu1Juw748nePTqXKPKHmTVpokbZCk52QZVKDLBDfEk3XJua6Lcjl?comment_id=788263042278201
8,😁 Allah Ya Hadamu Nima Neman Irinsu Nake Kuma Zan Rike Amana,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02iMXuu9aCXZVpkyufdz9N2zLcUBGSinn3KDgBpxAZzSJXMeH8nhz7eXc3amrAHEH8l?comment_id=2184932538381820
9,😁😁😁😁 Ba Ruwan Ubangiji. Ya Raena Abin da ta bashi dae,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02Yaqo6GcZNvskPuc1nYGFtAzjCkppb8XLtjXrRW7kNcYRwcVNLScf8Skuh3aQQeCtl?comment_id=2135426103296978
10,Kwal uba! Ki kwashi kaso 99% wajen jin dadi shi kuma yanada kaso 1% shine abin fyade? Wannan matar lacked home trying gashi kuma ta kwance masa zani a kasuwa shi kuma ya zama abin dariya,1,1,1,1,2,https://www.facebook.com/103933248627772/posts/163274336026996/?comment_id=163528572668239
11,Wai su mata ba mugaye cikinsu ai gara wannan namijin da sauki macen da ke aiki mutun lahira kai tsaye fa,1,1,1,1,2,https://www.facebook.com/lbrhausa/posts/pfbid0rF5YLUawMmaYaZXbmvMCEfiayZMMiipUEhqsXMk6fH276DxAYFR4tjbKNSyhs8mSl
12,5Ga wani jikan malam din acikin kiristoci😂,0,0,0,0,-1,https://www.facebook.com/lbrhausa/posts/pfbid02Yaqo6GcZNvskPuc1nYGFtAzjCkppb8XLtjXrRW7kNcYRwcVNLScf8Skuh3aQQeCtl?comment_id=2135426103296978
13,95% Fulani makiya suna da hanu a Taadacin Arewa kasa Nigeria.,0,0,1,1,1,https://www.facebook.com/103933248627772/posts/163274336026996/?comment_id=306535608085629
14,"A a Dan uwa wanna maganar kwanan nan ta fara tasowa saboda wasu suna son amfani da ita don cimma bukatunsu na siyasa,dole muyi taka tsantsan my yan arewa. Ai kano Akwai yan kuduma dasuka zama tamkar yan kasa kasancewar kano uwace mu a arewa kuma wanna tarihin ai ba bakobane.",1,0,0,0,-1,https://www.facebook.com/103933248627772/posts/163187372702359/?comment_id=163298819357881&reply_comment_id=163437356010694
15,A cikin su guda nawa aka korawa daga Kan mulki,1,0,0,0,-1,https://www.facebook.com/103933248627772/posts/163187372702359/?comment_id=163848219302941
