id,message,translation,date,like,count,language,url,human-eval,sub-category,classe
4,"They are clueless how civilization and leadership works, agitators are not terrorists,all this their hipocracy will end in a year...","They are clueless how civilization and leadership works, agitators are not terrorists,all this their hipocracy will end in a year...",2021-12-21T08:44:28+0000,0,0,en,https://www.facebook.com/1630853807234713/posts/3127594570893955/?comment_id=3128228764163869,1,hateful,1
7,It's a shamful thing .. release .m n k ...he no pregnant Buhari wife,It's a shamful thing .. release .m n k ...he no pregnant Buhari wife,2021-12-20T16:49:51+0000,0,1,en,https://www.facebook.com/1630853807234713/posts/3127594570893955/?comment_id=3127783530875059,1,hateful,1
8,Nigeria Government is a Terrorist Government End Nigeria now and save lives,Nigeria Government is a Terrorist Government End Nigeria now and save lives,2021-12-21T01:10:25+0000,0,0,en,https://www.facebook.com/1630853807234713/posts/3127594570893955/?comment_id=3128020697518009,1,hateful,1
9,"The indigenous people of noise making,  empty barrels that maketh the loudest noise.  
   It's high time you guys stop drama and face the reality.","The indigenous people of noise making,  empty barrels that maketh the loudest noise.  
   It's high time you guys stop drama and face the reality.",2021-12-20T11:50:05+0000,15,0,en,https://www.facebook.com/1630853807234713/posts/3127594570893955/?comment_id=3127599237560155,0,hateful,1
10,"The name fits the man ""KING OF FALSEHOOD""","The name fits the man ""KING OF FALSEHOOD""",2021-12-20T12:38:02+0000,0,0,en,https://www.facebook.com/1630853807234713/posts/3127594570893955/?comment_id=3127630457557033,0,hateful,1
12,"So Garba Shehu is challenging with Lai Mohammed on who tells the highest lies. God punish them all with their generation for deceiving the whole world on IPOB's intents than allowing the upper and lower chambers to identifying their Mayetti Allah, Boko haram, banditry et al as terrorists !","So Garba Shehu is challenging with Lai Mohammed on who tells the highest lies. God punish them all with their generation for deceiving the whole world on IPOB's intents than allowing the upper and lower chambers to identifying their Mayetti Allah, Boko haram, banditry et al as terrorists !",2021-12-21T01:26:25+0000,0,0,en,https://www.facebook.com/1630853807234713/posts/3127594570893955/?comment_id=3128029117517167,0,hateful,1
13,"Let them declared them as terrorists if not why do they always killing the security personnel in the Southeast??? Now you have started killing your own people especially the traditional rulers, for what reasons you are behaving wickedly","Let them declared them as terrorists if not why do they always killing the security personnel in the Southeast??? Now you have started killing your own people especially the traditional rulers, for what reasons you are behaving wickedly",2021-12-21T13:48:36+0000,0,0,en,https://www.facebook.com/1630853807234713/posts/3127594570893955/?comment_id=3128405027479576,0,hateful,1
15,"United terrorist country or what  ?
 A Country With fake president ,a country where the police can be a scammer","United terrorist country or what  ?
 A Country With fake president ,a country where the police can be a scammer",2021-12-21T04:19:58+0000,0,0,en,https://www.facebook.com/1630853807234713/posts/3127594570893955/?comment_id=3128112707508808,0,hateful,1
18,Warning Warning without no actions makes you all looks like a coward,Warning Warning without no actions makes you all looks like a coward,2021-12-20T12:34:35+0000,0,0,en,https://www.facebook.com/1630853807234713/posts/3127594570893955/?comment_id=3127628650890547,0,hateful,1
19,"Lies and deceits has been their stock en trade, it is their symbol all over the world.","Lies and deceits has been their stock en trade, it is their symbol all over the world.",2021-12-20T11:47:16+0000,0,0,en,https://www.facebook.com/1630853807234713/posts/3127594570893955/?comment_id=3127597894226956,0,hateful,1
